x f[0] f[1] f[2] f[3] f[0,1] f[1,2] f[2,3] f[0,1,2] f[1,2,3] f[0,1,2,3]
1.690000 0.000000 0.000000 0.096100 1.716100 0.000000 0.096100 1.620000 0.048050 0.761950 0.237967
1.700000 0.000000 0.000000 0.090000 1.690000 0.000000 0.090000 1.600000 0.045000 0.755000 0.236667
1.710000 0.000000 0.000000 0.084100 1.664100 0.000000 0.084100 1.580000 0.042050 0.747950 0.235300
1.720000 0.000000 0.000000 0.078400 1.638400 0.000000 0.078400 1.560000 0.039200 0.740800 0.233867
1.730000 0.000000 0.000000 0.072900 1.612900 0.000000 0.072900 1.540000 0.036450 0.733550 0.232367
1.740000 0.000000 0.000000 0.067600 1.587600 0.000000 0.067600 1.520000 0.033800 0.726200 0.230800
1.750000 0.000000 0.000000 0.062500 1.562500 0.000000 0.062500 1.500000 0.031250 0.718750 0.229167
1.760000 0.000000 0.000000 0.057600 1.537600 0.000000 0.057600 1.480000 0.028800 0.711200 0.227467
1.770000 0.000000 0.000000 0.052900 1.512900 0.000000 0.052900 1.460000 0.026450 0.703550 0.225700
1.780000 0.000000 0.000000 0.048400 1.488400 0.000000 0.048400 1.440000 0.024200 0.695800 0.223867
1.790000 0.000000 0.000000 0.044100 1.464100 0.000000 0.044100 1.420000 0.022050 0.687950 0.221967
1.800000 0.000000 0.000000 0.040000 1.440000 0.000000 0.040000 1.400000 0.020000 0.680000 0.220000
1.810000 0.000000 0.000000 0.036100 1.416100 0.000000 0.036100 1.380000 0.018050 0.671950 0.217967
1.820000 0.000000 0.000000 0.032400 1.392400 0.000000 0.032400 1.360000 0.016200 0.663800 0.215867
1.830000 0.000000 0.000000 0.028900 1.368900 0.000000 0.028900 1.340000 0.014450 0.655550 0.213700
1.840000 0.000000 0.000000 0.025600 1.345600 0.000000 0.025600 1.320000 0.012800 0.647200 0.211467
1.850000 0.000000 0.000000 0.022500 1.322500 0.000000 0.022500 1.300000 0.011250 0.638750 0.209167
1.860000 0.000000 0.000000 0.019600 1.299600 0.000000 0.019600 1.280000 0.009800 0.630200 0.206800
1.870000 0.000000 0.000000 0.016900 1.276900 0.000000 0.016900 1.260000 0.008450 0.621550 0.204367
1.880000 0.000000 0.000000 0.014400 1.254400 0.000000 0.014400 1.240000 0.007200 0.612800 0.201867
1.890000 0.000000 0.000000 0.012100 1.232100 0.000000 0.012100 1.220000 0.006050 0.603950 0.199300
1.900000 0.000000 0.000000 0.010000 1.210000 0.000000 0.010000 1.200000 0.005000 0.595000 0.196667
1.910000 0.000000 0.000000 0.008100 1.188100 0.000000 0.008100 1.180000 0.004050 0.585950 0.193967
